,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10061,0.0,0.0,0.0,0.0,17.0,18.0,5.0,17.0,14.0,20.0,2.0,4.0,13.0,1.0,45.0,52.0,-25.950000000000003,0.0,0.0,0.0,0.0,18.0,19.0,6.0,18.0,15.0,21.0,3.0,5.0,14.0,1.0,0.0
10062,0.0,0.0,0.0,0.0,18.0,19.0,6.0,18.0,15.0,21.0,3.0,5.0,14.0,1.0,45.0,52.0,-26.85,0.0,0.0,0.0,0.0,19.0,20.0,7.0,19.0,16.0,22.0,4.0,6.0,15.0,1.0,0.0
10063,0.0,0.0,0.0,0.0,19.0,20.0,7.0,19.0,16.0,22.0,4.0,6.0,15.0,1.0,45.0,14.0,-37.28,0.0,0.0,0.0,0.0,20.0,21.0,1.0,20.0,17.0,23.0,5.0,7.0,16.0,1.0,0.0
10064,0.0,0.0,0.0,0.0,20.0,21.0,1.0,20.0,17.0,23.0,5.0,7.0,16.0,1.0,37.0,52.0,-33.705,0.0,0.0,0.0,0.0,21.0,22.0,2.0,21.0,18.0,24.0,6.0,1.0,17.0,2.0,0.0
10065,0.0,0.0,0.0,0.0,21.0,22.0,2.0,21.0,18.0,24.0,6.0,1.0,17.0,2.0,45.0,34.0,-29.1,0.0,0.0,0.0,0.0,22.0,23.0,3.0,22.0,19.0,25.0,1.0,2.0,18.0,1.0,0.0
10066,0.0,0.0,0.0,0.0,22.0,23.0,3.0,22.0,19.0,25.0,1.0,2.0,18.0,1.0,45.0,34.0,-29.900000000000002,0.0,0.0,0.0,0.0,23.0,24.0,4.0,23.0,20.0,26.0,1.0,3.0,19.0,1.0,0.0
10067,0.0,0.0,0.0,0.0,23.0,24.0,4.0,23.0,20.0,26.0,1.0,3.0,19.0,1.0,45.0,14.0,-39.08,0.0,0.0,0.0,0.0,24.0,25.0,1.0,24.0,21.0,27.0,2.0,4.0,20.0,1.0,0.0
10068,0.0,0.0,0.0,0.0,24.0,25.0,1.0,24.0,21.0,27.0,2.0,4.0,20.0,1.0,43.0,4.0,-35.06,0.0,2.0,0.0,0.0,1.0,26.0,2.0,25.0,22.0,28.0,3.0,5.0,1.0,2.0,0.0
10069,0.0,2.0,0.0,0.0,1.0,26.0,2.0,25.0,22.0,28.0,3.0,5.0,1.0,2.0,20.0,29.0,-19.9,0.0,2.0,0.0,0.0,2.0,27.0,3.0,26.0,1.0,1.0,4.0,6.0,2.0,3.0,0.0
10070,0.0,2.0,0.0,0.0,2.0,27.0,3.0,26.0,1.0,1.0,4.0,6.0,2.0,3.0,7.0,17.0,-17.925,0.0,2.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,7.0,3.0,4.0,0.0
10071,0.0,2.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,7.0,3.0,4.0,39.0,47.0,-37.355000000000004,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,3.0,3.0,6.0,1.0,4.0,1.0,0.0
10072,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,3.0,3.0,6.0,1.0,4.0,1.0,45.0,12.0,-27.68,0.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,4.0,4.0,7.0,2.0,5.0,1.0,0.0
10073,0.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,4.0,4.0,7.0,2.0,5.0,1.0,9.0,3.0,-16.409999999999997,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,8.0,3.0,6.0,2.0,0.0
10074,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,8.0,3.0,6.0,2.0,30.0,32.0,-7.619999999999999,0.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,1.0,4.0,7.0,3.0,0.0
