,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10051,5.0,0.0,2.0,0.0,6.0,4.0,3.0,1.0,8.0,2.0,6.0,5.0,7.0,1.0,9.0,22.0,-17.119999999999997,5.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,8.0,2.0,0.0
10052,5.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,1.0,3.0,7.0,6.0,8.0,2.0,34.0,2.0,-8.195,5.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,4.0,1.0,7.0,9.0,3.0,0.0
10053,5.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,4.0,1.0,7.0,9.0,3.0,40.0,43.0,-18.215,5.0,0.0,0.0,2.0,2.0,3.0,6.0,4.0,3.0,5.0,2.0,8.0,1.0,4.0,0.0
10054,5.0,0.0,0.0,2.0,2.0,3.0,6.0,4.0,3.0,5.0,2.0,8.0,1.0,4.0,39.0,45.0,-4.995,5.0,0.0,0.0,2.0,3.0,4.0,7.0,5.0,4.0,6.0,3.0,1.0,2.0,1.0,0.0
10055,5.0,0.0,0.0,2.0,3.0,4.0,7.0,5.0,4.0,6.0,3.0,1.0,2.0,1.0,34.0,11.0,-12.899999999999999,5.0,0.0,2.0,2.0,4.0,5.0,1.0,6.0,5.0,7.0,1.0,2.0,3.0,2.0,0.0
10056,5.0,0.0,2.0,2.0,4.0,5.0,1.0,6.0,5.0,7.0,1.0,2.0,3.0,2.0,9.0,29.0,-14.404999999999998,5.0,0.0,2.0,0.0,5.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,4.0,3.0,0.0
10057,5.0,0.0,2.0,0.0,5.0,1.0,2.0,7.0,6.0,1.0,2.0,3.0,4.0,3.0,24.0,22.0,-20.075,5.0,0.0,0.0,0.0,6.0,2.0,3.0,8.0,1.0,2.0,3.0,4.0,5.0,4.0,0.0
10058,5.0,0.0,0.0,0.0,6.0,2.0,3.0,8.0,1.0,2.0,3.0,4.0,5.0,4.0,34.0,49.0,-9.059999999999999,5.0,0.0,0.0,0.0,7.0,3.0,4.0,9.0,2.0,3.0,1.0,5.0,6.0,1.0,0.0
10059,5.0,0.0,0.0,0.0,7.0,3.0,4.0,9.0,2.0,3.0,1.0,5.0,6.0,1.0,40.0,16.0,-17.395,5.0,0.0,2.0,0.0,8.0,4.0,5.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,0.0
10060,5.0,0.0,2.0,0.0,8.0,4.0,5.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,39.0,2.0,-5.37,5.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,4.0,5.0,3.0,1.0,2.0,3.0,0.0
10061,5.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,4.0,5.0,3.0,1.0,2.0,3.0,34.0,12.0,-19.42,5.0,0.0,0.0,0.0,2.0,6.0,1.0,3.0,5.0,6.0,1.0,2.0,3.0,4.0,0.0
10062,5.0,0.0,0.0,0.0,2.0,6.0,1.0,3.0,5.0,6.0,1.0,2.0,3.0,4.0,9.0,54.0,-5.095000000000001,5.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,6.0,7.0,2.0,3.0,4.0,5.0,0.0
10063,5.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,6.0,7.0,2.0,3.0,4.0,5.0,29.0,29.0,-23.375,5.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,7.0,1.0,3.0,4.0,5.0,6.0,0.0
10064,5.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,7.0,1.0,3.0,4.0,5.0,6.0,32.0,45.0,-12.159999999999998,3.0,0.0,0.0,0.0,5.0,3.0,4.0,6.0,8.0,2.0,1.0,5.0,6.0,1.0,0.0
10065,3.0,0.0,0.0,0.0,5.0,3.0,4.0,6.0,8.0,2.0,1.0,5.0,6.0,1.0,24.0,16.0,-16.099999999999998,3.0,0.0,2.0,0.0,6.0,4.0,5.0,1.0,1.0,3.0,2.0,6.0,7.0,2.0,0.0
10066,3.0,0.0,2.0,0.0,6.0,4.0,5.0,1.0,1.0,3.0,2.0,6.0,7.0,2.0,40.0,9.0,-16.155,3.0,0.0,2.0,0.0,7.0,1.0,6.0,2.0,2.0,4.0,3.0,7.0,1.0,3.0,0.0
10067,3.0,0.0,2.0,0.0,7.0,1.0,6.0,2.0,2.0,4.0,3.0,7.0,1.0,3.0,0.0,25.0,-13.419999999999998,3.0,0.0,2.0,0.0,1.0,2.0,7.0,3.0,3.0,1.0,4.0,8.0,2.0,4.0,0.0
10068,3.0,0.0,2.0,0.0,1.0,2.0,7.0,3.0,3.0,1.0,4.0,8.0,2.0,4.0,12.0,45.0,-16.575,1.0,0.0,2.0,0.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,9.0,3.0,1.0,0.0
10069,1.0,0.0,2.0,0.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,9.0,3.0,1.0,39.0,37.0,-13.575,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,5.0,3.0,6.0,1.0,4.0,2.0,0.0
10070,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,5.0,3.0,6.0,1.0,4.0,2.0,18.0,0.0,-8.04,1.0,2.0,0.0,0.0,1.0,5.0,3.0,1.0,6.0,4.0,7.0,2.0,5.0,3.0,0.0
