,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10041,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,9.0,2.0,5.0,4.0,5.0,5.0,8.0,10.0,7.0,4.0,8.0,1.0,1.0,31.0,74.0,47.0,-22.116666666666664,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,3.0,6.0,5.0,1.0,6.0,9.0,1.0,8.0,5.0,9.0,2.0,1.0,0.0
10042,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,10.0,3.0,6.0,5.0,1.0,6.0,9.0,1.0,8.0,5.0,9.0,2.0,1.0,0.0,0.0,9.0,-15.94,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,7.0,6.0,2.0,7.0,10.0,2.0,9.0,6.0,10.0,3.0,2.0,0.0
10043,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,4.0,7.0,6.0,2.0,7.0,10.0,2.0,9.0,6.0,10.0,3.0,2.0,69.0,74.0,54.0,-25.461666666666666,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,5.0,8.0,7.0,3.0,8.0,11.0,3.0,1.0,7.0,11.0,1.0,1.0,0.0
10044,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,5.0,8.0,7.0,3.0,8.0,11.0,3.0,1.0,7.0,11.0,1.0,1.0,37.0,12.0,1.0,-21.585,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,6.0,9.0,8.0,4.0,1.0,12.0,4.0,2.0,8.0,12.0,2.0,2.0,0.0
10045,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,6.0,9.0,8.0,4.0,1.0,12.0,4.0,2.0,8.0,12.0,2.0,2.0,33.0,57.0,42.0,-35.4,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,7.0,10.0,9.0,1.0,2.0,1.0,5.0,3.0,1.0,13.0,3.0,3.0,0.0
10046,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,7.0,10.0,9.0,1.0,2.0,1.0,5.0,3.0,1.0,13.0,3.0,3.0,1.0,57.0,23.0,-27.008333333333333,4.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,8.0,1.0,10.0,2.0,3.0,2.0,6.0,4.0,1.0,14.0,4.0,4.0,0.0
10047,4.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,8.0,1.0,10.0,2.0,3.0,2.0,6.0,4.0,1.0,14.0,4.0,4.0,43.0,0.0,23.0,-16.426666666666666,4.0,4.0,0.0,0.0,0.0,4.0,1.0,6.0,4.0,9.0,1.0,11.0,3.0,4.0,1.0,7.0,5.0,2.0,15.0,5.0,5.0,0.0
10048,4.0,4.0,0.0,0.0,0.0,4.0,1.0,6.0,4.0,9.0,1.0,11.0,3.0,4.0,1.0,7.0,5.0,2.0,15.0,5.0,5.0,30.0,0.0,13.0,-18.753333333333334,4.0,4.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,10.0,2.0,12.0,1.0,5.0,2.0,8.0,6.0,3.0,16.0,6.0,6.0,0.0
10049,4.0,4.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,10.0,2.0,12.0,1.0,5.0,2.0,8.0,6.0,3.0,16.0,6.0,6.0,45.0,57.0,27.0,-329.225,4.0,4.0,0.0,0.0,0.0,6.0,2.0,8.0,2.0,11.0,3.0,1.0,2.0,6.0,3.0,1.0,7.0,1.0,17.0,7.0,7.0,0.0
10050,4.0,4.0,0.0,0.0,0.0,6.0,2.0,8.0,2.0,11.0,3.0,1.0,2.0,6.0,3.0,1.0,7.0,1.0,17.0,7.0,7.0,17.0,74.0,9.0,-24.461666666666666,2.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,7.0,4.0,2.0,8.0,2.0,18.0,8.0,1.0,0.0
